11.826,11.097,11.222,10.686,10.143,8.693,9.824,10.655,11.846,12.331,11.491,11.243,9.653
21.98,23.051,25.15,26.49,28.329,28.844,31.874,34.898,38.203,40.644,41.97,43.418,43.426
29.701,32.266,35.8,38.6,41.646,43.978,48.343,52.743,57.495,61.525,64.158,66.838,68.152
35.95,39.329,43.907,47.874,52.058,55.36,61.028,66.397,72.09,77.219,80.846,84.591,86.844
40.912,45.074,50.374,55.302,60.223,64.286,70.725,77.029,83.528,89.316,93.888,98.489,101.537
44.7,49.4,55.402,60.782,66.39,71.309,78.378,85.29,92.464,99,104.158,109.251,112.728
47.771,53.299,59.48,65.331,71.749,76.871,84.592,92.007,99.868,106.619,112.323,117.98,122.122
50.156,55.936,62.81,69.165,75.8,81.675,89.73,97.686,105.83,113.056,118.917,125.044,129.566
52.211,58.293,65.564,72.216,79.138,85.274,93.75,101.868,110.49,118.177,124.313,130.744,135.608
53.593,60.225,67.6,74.546,81.878,88.184,97.124,105.567,114.382,122.204,128.678,135.449,140.615
54.894,61.744,69.416,76.742,84.375,91.003,99.966,108.719,117.795,125.995,132.668,139.584,144.904
55.791,62.709,70.817,78.102,85.997,92.85,102.06,110.987,120.256,128.685,135.368,142.644,148.343
56.722,63.757,71.861,79.47,87.454,94.406,103.899,113.012,122.435,130.865,138.035,145.32,151.147
55.979,63.203,71.646,79.446,87.459,94.555,104.141,113.38,123.036,131.802,138.889,146.414,152.326
56.243,63.601,72.057,79.984,88.188,95.608,105.266,114.626,124.297,133.352,140.525,148.133,154.264
56.739,64.197,72.904,80.846,89.335,96.725,106.539,115.904,125.871,134.91,142.23,150.024,156.088
57.402,64.974,73.767,81.849,90.262,97.755,107.695,117.232,127.312,136.419,143.839,151.583,157.764
57.982,65.679,74.599,82.679,91.118,98.7,108.627,118.485,128.464,137.62,145.155,153.031,159.356
58.715,66.313,75.251,83.314,91.831,99.449,109.491,119.397,129.397,138.669,146.171,154.216,160.658
58.988,66.701,75.559,83.643,92.322,99.909,110.234,119.724,129.843,139.149,146.763,154.821,161.136
57.924,65.811,74.826,83.073,91.783,99.387,109.555,119.539,129.77,139.002,146.814,154.979,161.263
